E2514,38.062,-91.408,10211725,74.00,0,33.00,0,1007.80,0,4.59,0,3.99,0,11.30,0,0.00,0,0.00,0
E2862,38.000,-92.732,10211725,76.00,0,15.00,0,1010.84,0,6.07,0,0.42,0,13.90,0,0.00,0,0.00,0
E3082,39.255,-94.477,10211725,76.00,0,21.00,0,1006.78,0,-0.79,0,1.55,0,7.82,0,0.00,0,0.00,0
E3196,37.614,-93.414,10211725,77.00,0,27.00,0,1007.80,0,0.31,0,0.81,0,6.08,0,0.00,0,0.00,0
E3476,37.679,-92.657,10211725,76.00,0,20.00,0,1011.52,0,6.02,0,0.85,0,13.03,0,0.00,0,0.00,0
E2874,38.724,-90.630,10211725,76.00,0,35.00,0,1010.84,0,-1.05,0,1.39,0,5.21,0,24.86,0,0.00,0
E4219,39.275,-94.475,10211725,74.00,0,31.00,0,1006.44,0,3.40,0,8.00,0,18.25,0,0.00,0,0.00,0
E0631,37.989,-91.781,10211725,78.00,0,27.00,0,1009.83,0,-1.81,0,1.88,0,8.69,0,0.00,0,0.00,0
E4355,36.812,-93.246,10211725,76.00,0,34.00,0,1010.84,0,-1.05,0,1.39,0,4.34,0,0.00,0,0.00,0
E4983,38.484,-93.252,10211725,75.00,0,37.00,0,1007.80,0,4.48,0,7.45,0,16.51,0,0.00,0,0.00,0
E5044,36.588,-94.486,10211725,78.00,0,32.00,0,1008.13,0,-0.92,0,1.48,0,10.43,0,0.00,0,0.00,0
E6063,38.408,-90.755,10211725,74.00,0,47.00,0,1010.16,0,0.60,0,3.43,0,9.56,0,0.00,0,0.00,0
D1762,38.591,-90.417,10211725,73.00,0,35.00,0,1010.50,0,0.00,0,0.00,0,7.82,0,0.00,0,0.00,0
E6435,38.432,-90.327,10211725,76.00,0,32.00,0,1011.52,0,-0.62,0,1.62,0,7.82,0,0.00,0,0.00,0
E6766,38.694,-90.800,10211725,74.00,0,37.00,0,1009.83,0,-2.79,0,3.32,0,9.56,0,0.00,0,0.00,0
E7257,38.838,-90.880,10211725,75.00,0,36.00,0,1010.50,0,3.47,0,-0.24,0,11.30,0,0.00,0,0.00,0
E7436,38.483,-90.758,10211725,76.00,0,31.00,0,1009.15,0,0.00,0,0.00,0,3.48,0,0.00,0,0.00,0
E7939,37.125,-92.629,10211725,75.00,0,21.00,0,1009.49,0,8.31,0,2.54,0,10.43,0,0.00,0,0.00,0
E7961,38.722,-92.253,10211725,75.00,0,37.00,0,1012.53,0,-0.27,0,0.83,0,8.69,0,0.00,0,0.00,0
E8653,39.014,-91.892,10211725,76.00,0,35.00,0,1009.15,0,7.60,0,4.21,0,16.51,0,0.00,0,0.00,0
E8935,38.774,-90.611,10211725,79.00,0,10.00,0,1008.13,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
E8948,36.209,-90.073,10211725,71.00,0,44.00,0,1013.55,0,4.31,0,-0.53,0,7.82,0,0.00,0,0.00,0
WS002,38.746,-90.539,10211725,75.00,0,31.00,0,1008.41,0,1.24,0,4.33,0,7.80,0,0.00,0,0.00,0
WS003,38.636,-90.227,10211725,71.20,0,36.00,0,1011.96,0,-6.63,0,-2.81,0,11.90,0,0.00,0,0.00,0
WS010,40.086,-95.343,10211725,71.20,0,33.00,0,1006.40,0,1.01,0,8.24,0,12.80,0,0.00,0,0.00,0
WS011,37.366,-89.804,10211725,72.90,0,34.00,0,1014.77,0,0.34,0,-2.17,0,4.70,0,0.00,0,0.00,0
